,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths
246374,WRL ,WRL,World,2020-06-27,9969756.0,176397.0,539143.0,4736.0
246585,WRL ,WRL,World,2021-01-24,99559041.0,461948.0,2222677.0,9758.0
246226,WRL ,WRL,World,2020-01-31,9927.0,1690.0,214.0,42.0
246584,WRL ,WRL,World,2021-01-23,99097093.0,576688.0,2212919.0,14565.0
246583,WRL ,WRL,World,2021-01-22,98520405.0,663539.0,2198354.0,16070.0
246260,WRL ,WRL,World,2020-03-05,98078.0,2740.0,3355.0,95.0
246373,WRL ,WRL,World,2020-06-26,9793359.0,192473.0,534407.0,5083.0
246582,WRL ,WRL,World,2021-01-21,97856866.0,668753.0,2182284.0,17333.0
246581,WRL ,WRL,World,2021-01-20,97188113.0,687207.0,2164951.0,17733.0
246580,WRL ,WRL,World,2021-01-19,96500906.0,592735.0,2147218.0,15709.0
246372,WRL ,WRL,World,2020-06-25,9600886.0,179510.0,529324.0,5110.0
246579,WRL ,WRL,World,2021-01-18,95908171.0,517227.0,2131509.0,10446.0
246287,WRL ,WRL,World,2020-04-01,955580.0,86323.0,53859.0,6644.0
246578,WRL ,WRL,World,2021-01-17,95390945.0,527568.0,2121063.0,9835.0
246259,WRL ,WRL,World,2020-03-04,95338.0,2344.0,3260.0,96.0
246577,WRL ,WRL,World,2021-01-16,94863377.0,656873.0,2111228.0,14034.0
246219,WRL ,WRL,World,2020-01-24,944.0,287.0,26.0,8.0
246371,WRL ,WRL,World,2020-06-24,9421376.0,171466.0,524214.0,5529.0
246576,WRL ,WRL,World,2021-01-15,94206504.0,783853.0,2097194.0,15719.0
246575,WRL ,WRL,World,2021-01-14,93422651.0,759056.0,2081475.0,15715.0
246258,WRL ,WRL,World,2020-03-03,92994.0,2612.0,3164.0,74.0
246574,WRL ,WRL,World,2021-01-13,92663595.0,743299.0,2065760.0,16483.0
246370,WRL ,WRL,World,2020-06-23,9249910.0,168184.0,518716.0,5568.0
246573,WRL ,WRL,World,2021-01-12,91920296.0,692504.0,2049277.0,16986.0
246572,WRL ,WRL,World,2021-01-11,91227792.0,614413.0,2032291.0,10285.0
246369,WRL ,WRL,World,2020-06-22,9081729.0,142336.0,513148.0,3867.0
246571,WRL ,WRL,World,2021-01-10,90613379.0,601501.0,2022006.0,9555.0
246257,WRL ,WRL,World,2020-03-02,90382.0,1980.0,3090.0,90.0
246570,WRL ,WRL,World,2021-01-09,90011878.0,756256.0,2012451.0,13356.0
246368,WRL ,WRL,World,2020-06-21,8939394.0,112857.0,509281.0,4644.0
246569,WRL ,WRL,World,2021-01-08,89255622.0,835444.0,1999095.0,15213.0
246367,WRL ,WRL,World,2020-06-20,8846333.0,185879.0,504638.0,4482.0
246568,WRL ,WRL,World,2021-01-07,88420178.0,869977.0,1983882.0,14965.0
246256,WRL ,WRL,World,2020-03-01,88402.0,2379.0,3000.0,54.0
246567,WRL ,WRL,World,2021-01-06,87550202.0,790944.0,1968917.0,14922.0
246286,WRL ,WRL,World,2020-03-31,869257.0,78439.0,47215.0,5168.0
246566,WRL ,WRL,World,2021-01-05,86759258.0,740842.0,1953995.0,15415.0
246366,WRL ,WRL,World,2020-06-19,8660454.0,181132.0,500156.0,5182.0
246255,WRL ,WRL,World,2020-02-29,86023.0,1871.0,2946.0,70.0
246565,WRL ,WRL,World,2021-01-04,86018416.0,557399.0,1938580.0,9950.0
246564,WRL ,WRL,World,2021-01-03,85461017.0,520258.0,1928630.0,7965.0
246563,WRL ,WRL,World,2021-01-02,84940759.0,604323.0,1920665.0,9389.0
246365,WRL ,WRL,World,2020-06-18,8479470.0,143096.0,493795.0,5355.0
246562,WRL ,WRL,World,2021-01-01,84336436.0,563661.0,1911276.0,9605.0
246254,WRL ,WRL,World,2020-02-28,84152.0,1424.0,2876.0,59.0
246561,WRL ,WRL,World,2020-12-31,83772775.0,839727.0,1901671.0,13495.0
246364,WRL ,WRL,World,2020-06-17,8336374.0,143202.0,488440.0,5477.0
